视频名称：黑豹：你管瓦坎达叫农耕国家？
视频点赞数：248000
视频地址：https://www.douyin.com/video/7164722435399421221
评论：
点赞数：32000  虽然但是 他们打架用冷兵器
点赞数：18000  嗯...说用手枪原始，然后她玩标枪
点赞数：12000  有一种先进的落后感
点赞数：4  我咋感觉这是幽默的讽刺呢
点赞数：4  瓦坎达确实是农耕国家因为种的是振金喝
点赞数：3  黑豹好像比钢铁侠有钱
点赞数：3  我有一块振金，应该用什么工具打造他，锤子？
点赞数：3  用最先进的设备，打最原始的架
点赞数：3  感谢特查拉国王为我们带来了最好的黑狍
点赞数：3  瓦坎达，最先进的科技打最原始的架
点赞数：3  @依然是我秀儿 @十点差三分。 @恨离别 @温情&LG @ᜊ•ᴗ•ᜊ @隔夜晚安. 靠真帅啊
点赞数：2  笑死，打架抡棍子攻击手段好高级哦！！
点赞数：2  @suriel 理解了冈比亚为什么敢…..
点赞数：2  @耶耶耶椰汁 @望星 农耕国家哈哈哈哈哈哈哈哈哈哈哈哈哈哈
点赞数：2  @日向翔阳 @LZ. 在学校看的，两部都看完了，还挺好看的
点赞数：1  说明了，开车坐车要系安全带
点赞数：1  有着最牛逼的科技，用着最原始的武器
点赞数：1  3周前·浙江
点赞数：1  刀女
点赞数：1  @Feng Gold 本来已经取消再看一次的打算 现在一个不小心又想看了
点赞数：1  @干干_不会三分 瓦坎达农耕国家啊啊啊啊啊啊
点赞数：1  伊博？
点赞数：0  这车不是振金的吗，怎么散架了
点赞数：0  车子不是振金吗？怎么被打坏
点赞数：0  这个公布的片段在哪
点赞数：0  @佛系君崽
点赞数：0  @@小橘 黑豹1
点赞数：0  黑豹二我哭了三次 很好看啊不管是剧情特效打斗场景还有配乐 影片结束了还想哭我是漫威老粉 只能说 瓦坎达forever
点赞数：0  这个片段是哪部电影黑豹1里面没有
点赞数：0  第一部还行第二部就
点赞数：0  怪想黑豹的害
点赞数：0  2就不用不去看了 很不行
点赞数：0  想到黑豹去世我就很难过@针针 @荔枝熊 @发呆拿铁～ @redhorse @Savana @韦韦豆奶
点赞数：0  两伊战争：用现代武器打出第一次世界大战的水准
点赞数：0  1月前·山东
点赞数：0  有着高科技，但还是以武力为主
点赞数：0  这玩意比钢铁侠厉害吧
点赞数：0  怎么卡里卡气的
点赞数：0  @杨钧棋的爹 这就是瓦坎达
点赞数：0  感觉黑豹是小黑们新的精神信仰，但是他没了……现在的新黑豹还差点意思
点赞数：0  yy片
点赞数：0  最高的科技打最原始的架
点赞数：0  这个女神身上散发出一种特别土鳖煤老板的即视感。
点赞数：0  我反而觉得好讽刺
点赞数：0  @川. @W. 也就几亿美元吧
点赞数：0  瓦坎达有世界最顶尖的科技，但是似乎……有点跑偏
点赞数：0  华生：福尔摩斯救命啊有人要吃我
点赞数：0  没事马上法国就接近瓦坎达了
点赞数：0  请纠正 不是冷兵器 是原始阶段的动能武器
点赞数：0  @嘉良 @渔 @老周 广坎达
